country,year,age,sex,observations
AD,2005,0-14,f,0.0
AD,2005,0-14,m,0.0
AD,2005,0-4,f,0.0
AD,2005,0-4,m,0.0
AD,2005,15-24,f,1.0
AD,2005,15-24,m,0.0
AD,2005,25-34,f,1.0
AD,2005,25-34,m,1.0
AD,2005,35-44,f,1.0
AD,2005,35-44,m,1.0
AD,2005,45-54,f,0.0
AD,2005,45-54,m,0.0
AD,2005,5-14,f,0.0
AD,2005,5-14,m,0.0
AD,2005,55-64,f,0.0
AD,2005,55-64,m,0.0
AD,2005,65,f,0.0
AD,2005,65,m,0.0
AD,2006,0-14,f,0.0
AD,2006,0-14,m,0.0
AD,2006,0-4,f,0.0
AD,2006,0-4,m,0.0
AD,2006,15-24,f,0.0
AD,2006,15-24,m,1.0
AD,2006,25-34,f,1.0
AD,2006,25-34,m,1.0
AD,2006,35-44,f,0.0
AD,2006,35-44,m,2.0
AD,2006,45-54,f,1.0
AD,2006,45-54,m,0.0
AD,2006,5-14,f,0.0
AD,2006,5-14,m,0.0
AD,2006,55-64,f,0.0
AD,2006,55-64,m,1.0
AD,2006,65,f,0.0
AD,2006,65,m,1.0
AD,2008,0-14,f,0.0
AD,2008,0-14,m,0.0
AD,2008,0-4,f,0.0
AD,2008,0-4,m,0.0
AD,2008,15-24,f,0.0
AD,2008,15-24,m,0.0
AD,2008,25-34,f,0.0
AD,2008,25-34,m,0.0
AD,2008,35-44,f,1.0
AD,2008,35-44,m,0.0
AD,2008,45-54,f,1.0
AD,2008,45-54,m,1.0
AD,2008,5-14,f,0.0
AD,2008,5-14,m,0.0
AD,2008,55-64,f,0.0
AD,2008,55-64,m,0.0
AD,2008,65,f,0.0
AD,2008,65,m,0.0
AE,2008,0-14,f,0.0
AE,2008,0-14,m,0.0
AE,2008,0-4,f,0.0
AE,2008,0-4,m,0.0
AE,2008,15-24,f,10.0
AE,2008,15-24,m,6.0
AE,2008,25-34,f,4.0
AE,2008,25-34,m,1.0
AE,2008,35-44,f,1.0
AE,2008,35-44,m,7.0
AE,2008,45-54,f,1.0
AE,2008,45-54,m,5.0
AE,2008,5-14,f,0.0
AE,2008,5-14,m,0.0
AE,2008,55-64,f,3.0
AE,2008,55-64,m,3.0
AE,2008,65,f,3.0
AE,2008,65,m,6.0
AL,2005,0-14,f,0.0
AL,2005,0-14,m,0.0
AL,2005,0-4,f,0.0
AL,2005,0-4,m,0.0
AL,2005,15-24,f,3.0
AL,2005,15-24,m,26.0
AL,2005,25-34,f,9.0
AL,2005,25-34,m,21.0
AL,2005,35-44,f,5.0
AL,2005,35-44,m,16.0
AL,2005,45-54,f,5.0
AL,2005,45-54,m,31.0
AL,2005,5-14,f,0.0
AL,2005,5-14,m,0.0
AL,2005,55-64,f,5.0
AL,2005,55-64,m,20.0
AL,2005,65,f,18.0
AL,2005,65,m,37.0
AL,2006,0-14,f,2.0
AL,2006,0-14,m,5.0
AL,2006,0-4,f,0.0
AL,2006,0-4,m,1.0
AL,2006,15-24,f,12.0
AL,2006,15-24,m,24.0
AL,2006,25-34,f,8.0
AL,2006,25-34,m,19.0
AL,2006,35-44,f,7.0
AL,2006,35-44,m,22.0
AL,2006,45-54,f,7.0
AL,2006,45-54,m,21.0
AL,2006,5-14,f,2.0
AL,2006,5-14,m,4.0
AL,2006,55-64,f,7.0
AL,2006,55-64,m,19.0
AL,2006,65,f,13.0
AL,2006,65,m,20.0
AL,2007,0-14,f,2.0
AL,2007,0-14,m,0.0
AL,2007,0-4,f,0.0
AL,2007,0-4,m,0.0
AL,2007,15-24,f,13.0
AL,2007,15-24,m,19.0
AL,2007,25-34,f,9.0
AL,2007,25-34,m,13.0
AL,2007,35-44,f,7.0
AL,2007,35-44,m,16.0
AL,2007,45-54,f,7.0
AL,2007,45-54,m,24.0
AL,2007,5-14,f,2.0
AL,2007,5-14,m,0.0
AL,2007,55-64,f,11.0
AL,2007,55-64,m,16.0
AL,2007,65,f,9.0
AL,2007,65,m,19.0
AM,2005,0-14,f,3.0
AM,2005,0-14,m,3.0
AM,2005,0-4,f,0.0
AM,2005,0-4,m,1.0
AM,2005,15-24,f,27.0
AM,2005,15-24,m,170.0
AM,2005,25-34,f,21.0
AM,2005,25-34,m,104.0
AM,2005,35-44,f,10.0
AM,2005,35-44,m,83.0
AM,2005,45-54,f,11.0
AM,2005,45-54,m,84.0
AM,2005,5-14,f,3.0
AM,2005,5-14,m,2.0
AM,2005,55-64,f,4.0
AM,2005,55-64,m,30.0
AM,2005,65,f,7.0
AM,2005,65,m,24.0
AM,2006,0-14,f,3.0
AM,2006,0-14,m,0.0
AM,2006,0-4,f,0.0
AM,2006,0-4,m,0.0
AM,2006,15-24,f,28.0
AM,2006,15-24,m,113.0
AM,2006,25-34,f,29.0
AM,2006,25-34,m,116.0
AM,2006,35-44,f,16.0
AM,2006,35-44,m,96.0
AM,2006,45-54,f,15.0
AM,2006,45-54,m,98.0
AM,2006,5-14,f,3.0
AM,2006,5-14,m,0.0
AM,2006,55-64,f,7.0
AM,2006,55-64,m,38.0
AM,2006,65,f,4.0
AM,2006,65,m,17.0
AM,2007,0-14,f,2.0
AM,2007,0-14,m,1.0
AM,2007,0-4,f,0.0
AM,2007,0-4,m,0.0
AM,2007,15-24,f,31.0
AM,2007,15-24,m,81.0
AM,2007,25-34,f,22.0
AM,2007,25-34,m,87.0
AM,2007,35-44,f,11.0
AM,2007,35-44,m,100.0
AM,2007,45-54,f,7.0
AM,2007,45-54,m,92.0
AM,2007,5-14,f,2.0
AM,2007,5-14,m,1.0
AM,2007,55-64,f,7.0
AM,2007,55-64,m,29.0
AM,2007,65,f,7.0
AM,2007,65,m,20.0
AM,2008,0-14,f,4.0
AM,2008,0-14,m,0.0
AM,2008,0-4,f,0.0
AM,2008,0-4,m,0.0
AM,2008,15-24,f,44.0
AM,2008,15-24,m,53.0
AM,2008,25-34,f,25.0
AM,2008,25-34,m,103.0
AM,2008,35-44,f,10.0
AM,2008,35-44,m,74.0
AM,2008,45-54,f,14.0
AM,2008,45-54,m,87.0
AM,2008,5-14,f,4.0
AM,2008,5-14,m,0.0
AM,2008,55-64,f,10.0
AM,2008,55-64,m,37.0
AM,2008,65,f,11.0
AM,2008,65,m,15.0
AR,2008,0-14,f,66.0
AR,2008,0-14,m,69.0
AR,2008,0-4,f,5.0
AR,2008,0-4,m,11.0
AR,2008,15-24,f,536.0
AR,2008,15-24,m,633.0
AR,2008,25-34,f,506.0
AR,2008,25-34,m,611.0
AR,2008,35-44,f,252.0
AR,2008,35-44,m,390.0
AR,2008,45-54,f,221.0
AR,2008,45-54,m,416.0
AR,2008,5-14,f,61.0
AR,2008,5-14,m,58.0
AR,2008,55-64,f,157.0
AR,2008,55-64,m,364.0
AR,2008,65,f,204.0
AR,2008,65,m,295.0
AT,2005,0-14,f,0.0
AT,2005,0-14,m,1.0
AT,2005,0-4,f,0.0
AT,2005,0-4,m,1.0
AT,2005,15-24,f,13.0
AT,2005,15-24,m,32.0
AT,2005,25-34,f,11.0
AT,2005,25-34,m,23.0
AT,2005,35-44,f,8.0
AT,2005,35-44,m,22.0
AT,2005,45-54,f,3.0
AT,2005,45-54,m,41.0
AT,2005,5-14,f,0.0
AT,2005,5-14,m,0.0
AT,2005,55-64,f,5.0
AT,2005,55-64,m,24.0
AT,2005,65,f,10.0
AT,2005,65,m,30.0
AT,2006,0-14,f,2.0
AT,2006,0-14,m,1.0
AT,2006,0-4,f,1.0
AT,2006,0-4,m,0.0
AT,2006,15-24,f,12.0
AT,2006,15-24,m,9.0
AT,2006,25-34,f,12.0
AT,2006,25-34,m,25.0
AT,2006,35-44,f,16.0
AT,2006,35-44,m,36.0
AT,2006,45-54,f,5.0
AT,2006,45-54,m,39.0
AT,2006,5-14,f,1.0
AT,2006,5-14,m,1.0
AT,2006,55-64,f,3.0
AT,2006,55-64,m,19.0
AT,2006,65,f,15.0
AT,2006,65,m,19.0
AZ,2005,0-14,f,90.0
AZ,2005,0-14,m,77.0
AZ,2005,0-4,f,2.0
AZ,2005,0-4,m,2.0
AZ,2005,15-24,f,64.0
AZ,2005,15-24,m,109.0
AZ,2005,25-34,f,98.0
AZ,2005,25-34,m,297.0
AZ,2005,35-44,f,47.0
AZ,2005,35-44,m,215.0
AZ,2005,45-54,f,32.0
AZ,2005,45-54,m,209.0
AZ,2005,5-14,f,88.0
AZ,2005,5-14,m,75.0
AZ,2005,55-64,f,24.0
AZ,2005,55-64,m,187.0
AZ,2005,65,f,24.0
AZ,2005,65,m,88.0
AZ,2006,0-14,f,2.0
AZ,2006,0-14,m,6.0
AZ,2006,0-4,f,0.0
AZ,2006,0-4,m,1.0
AZ,2006,15-24,f,51.0
AZ,2006,15-24,m,241.0
AZ,2006,25-34,f,66.0
AZ,2006,25-34,m,362.0
AZ,2006,35-44,f,66.0
AZ,2006,35-44,m,365.0
AZ,2006,45-54,f,44.0
AZ,2006,45-54,m,120.0
AZ,2006,5-14,f,2.0
AZ,2006,5-14,m,5.0
AZ,2006,55-64,f,15.0
AZ,2006,55-64,m,78.0
AZ,2006,65,f,8.0
AZ,2006,65,m,30.0
BA,2005,0-14,f,2.0
BA,2005,0-14,m,1.0
BA,2005,0-4,f,0.0
BA,2005,0-4,m,0.0
BA,2005,15-24,f,35.0
BA,2005,15-24,m,22.0
BA,2005,25-34,f,39.0
BA,2005,25-34,m,58.0
BA,2005,35-44,f,33.0
BA,2005,35-44,m,61.0
BA,2005,45-54,f,28.0
BA,2005,45-54,m,78.0
BA,2005,5-14,f,2.0
BA,2005,5-14,m,1.0
BA,2005,55-64,f,28.0
BA,2005,55-64,m,44.0
BA,2005,65,f,130.0
BA,2005,65,m,80.0
BA,2006,0-14,f,0.0
BA,2006,0-14,m,0.0
BA,2006,0-4,f,0.0
BA,2006,0-4,m,0.0
BA,2006,15-24,f,41.0
BA,2006,15-24,m,40.0
BA,2006,25-34,f,50.0
BA,2006,25-34,m,58.0
BA,2006,35-44,f,24.0
BA,2006,35-44,m,47.0
BA,2006,45-54,f,29.0
BA,2006,45-54,m,53.0
BA,2006,5-14,f,0.0
BA,2006,5-14,m,0.0
BA,2006,55-64,f,20.0
BA,2006,55-64,m,42.0
BA,2006,65,f,88.0
BA,2006,65,m,66.0
BA,2007,0-14,f,0.0
BA,2007,0-14,m,0.0
BA,2007,0-4,f,0.0
BA,2007,0-4,m,0.0
BA,2007,15-24,f,0.0
BA,2007,15-24,m,0.0
BA,2007,25-34,f,0.0
BA,2007,25-34,m,0.0
BA,2007,35-44,f,0.0
BA,2007,35-44,m,0.0
BA,2007,45-54,f,0.0
BA,2007,45-54,m,0.0
BA,2007,5-14,f,0.0
BA,2007,5-14,m,0.0
BA,2007,55-64,f,0.0
BA,2007,55-64,m,0.0
BA,2007,65,f,0.0
BA,2007,65,m,0.0
BA,2008,0-14,f,3.0
BA,2008,0-14,m,0.0
BA,2008,0-4,f,0.0
BA,2008,0-4,m,0.0
BA,2008,15-24,f,26.0
BA,2008,15-24,m,20.0
BA,2008,25-34,f,26.0
BA,2008,25-34,m,35.0
BA,2008,35-44,f,20.0
BA,2008,35-44,m,38.0
BA,2008,45-54,f,11.0
BA,2008,45-54,m,84.0
BA,2008,5-14,f,3.0
BA,2008,5-14,m,0.0
BA,2008,55-64,f,6.0
BA,2008,55-64,m,49.0
BA,2008,65,f,112.0
BA,2008,65,m,79.0
BB,2008,0-14,f,0.0
BB,2008,0-14,m,0.0
BB,2008,0-4,f,0.0
BB,2008,0-4,m,0.0
BB,2008,15-24,f,0.0
BB,2008,15-24,m,0.0
BB,2008,25-34,f,0.0
BB,2008,25-34,m,1.0
BB,2008,35-44,f,0.0
BB,2008,35-44,m,0.0
BB,2008,45-54,f,0.0
BB,2008,45-54,m,0.0
BB,2008,5-14,f,0.0
BB,2008,5-14,m,0.0
BB,2008,55-64,f,0.0
BB,2008,55-64,m,0.0
BB,2008,65,f,0.0
BB,2008,65,m,0.0
BE,2005,0-14,f,2.0
BE,2005,0-14,m,1.0
BE,2005,0-4,f,1.0
BE,2005,0-4,m,1.0
BE,2005,15-24,f,27.0
BE,2005,15-24,m,26.0
BE,2005,25-34,f,31.0
BE,2005,25-34,m,50.0
BE,2005,35-44,f,15.0
BE,2005,35-44,m,32.0
BE,2005,45-54,f,12.0
BE,2005,45-54,m,27.0
BE,2005,5-14,f,1.0
BE,2005,5-14,m,0.0
BE,2005,55-64,f,4.0
BE,2005,55-64,m,15.0
BE,2005,65,f,23.0
BE,2005,65,m,47.0
BE,2006,0-14,f,6.0
BE,2006,0-14,m,4.0
BE,2006,0-4,f,3.0
BE,2006,0-4,m,3.0
BE,2006,15-24,f,25.0
BE,2006,15-24,m,26.0
BE,2006,25-34,f,25.0
BE,2006,25-34,m,52.0
BE,2006,35-44,f,18.0
BE,2006,35-44,m,38.0
BE,2006,45-54,f,6.0
BE,2006,45-54,m,45.0
BE,2006,5-14,f,3.0
BE,2006,5-14,m,1.0
BE,2006,55-64,f,7.0
BE,2006,55-64,m,27.0
BE,2006,65,f,22.0
BE,2006,65,m,42.0
BE,2008,0-14,f,3.0
BE,2008,0-14,m,3.0
BE,2008,0-4,f,2.0
BE,2008,0-4,m,2.0
BE,2008,15-24,f,17.0
BE,2008,15-24,m,23.0
BE,2008,25-34,f,40.0
BE,2008,25-34,m,40.0
BE,2008,35-44,f,22.0
BE,2008,35-44,m,43.0
BE,2008,45-54,f,8.0
BE,2008,45-54,m,32.0
BE,2008,5-14,f,1.0
BE,2008,5-14,m,1.0
BE,2008,55-64,f,3.0
BE,2008,55-64,m,24.0
BE,2008,65,f,12.0
BE,2008,65,m,41.0
BG,2005,0-14,f,9.0
BG,2005,0-14,m,9.0
BG,2005,0-4,f,0.0
BG,2005,0-4,m,0.0
BG,2005,15-24,f,90.0
BG,2005,15-24,m,98.0
BG,2005,25-34,f,111.0
BG,2005,25-34,m,150.0
BG,2005,35-44,f,59.0
BG,2005,35-44,m,195.0
BG,2005,45-54,f,29.0
BG,2005,45-54,m,195.0
BG,2005,5-14,f,9.0
BG,2005,5-14,m,9.0
BG,2005,55-64,f,37.0
BG,2005,55-64,m,150.0
BG,2005,65,f,70.0
BG,2005,65,m,136.0
BG,2008,0-14,f,1.0
BG,2008,0-14,m,2.0
BG,2008,0-4,f,1.0
BG,2008,0-4,m,1.0
BG,2008,15-24,f,57.0
BG,2008,15-24,m,80.0
BG,2008,25-34,f,78.0
BG,2008,25-34,m,145.0
BG,2008,35-44,f,54.0
BG,2008,35-44,m,151.0
BG,2008,45-54,f,31.0
BG,2008,45-54,m,159.0
BG,2008,5-14,f,0.0
BG,2008,5-14,m,1.0
BG,2008,55-64,f,23.0
BG,2008,55-64,m,127.0
BG,2008,65,f,44.0
BG,2008,65,m,68.0
BH,2008,0-14,f,0.0
BH,2008,0-14,m,0.0
BH,2008,0-4,f,0.0
BH,2008,0-4,m,0.0
BH,2008,15-24,f,12.0
BH,2008,15-24,m,17.0
BH,2008,25-34,f,16.0
BH,2008,25-34,m,48.0
BH,2008,35-44,f,8.0
BH,2008,35-44,m,27.0
BH,2008,45-54,f,1.0
BH,2008,45-54,m,8.0
BH,2008,5-14,f,0.0
BH,2008,5-14,m,0.0
BH,2008,55-64,f,0.0
BH,2008,55-64,m,2.0
BH,2008,65,f,0.0
BH,2008,65,m,3.0
BN,2008,0-14,f,1.0
BN,2008,0-14,m,0.0
BN,2008,0-4,f,0.0
BN,2008,0-4,m,0.0
BN,2008,15-24,f,6.0
BN,2008,15-24,m,10.0
BN,2008,25-34,f,11.0
BN,2008,25-34,m,10.0
BN,2008,35-44,f,8.0
BN,2008,35-44,m,12.0
BN,2008,45-54,f,7.0
BN,2008,45-54,m,21.0
BN,2008,5-14,f,1.0
BN,2008,5-14,m,0.0
BN,2008,55-64,f,7.0
BN,2008,55-64,m,6.0
BN,2008,65,f,10.0
BN,2008,65,m,23.0
BR,2008,0-14,f,356.0
BR,2008,0-14,m,298.0
BR,2008,0-4,f,69.0
BR,2008,0-4,m,115.0
BR,2008,15-24,f,2709.0
BR,2008,15-24,m,4436.0
BR,2008,25-34,f,3233.0
BR,2008,25-34,m,6173.0
BR,2008,35-44,f,2266.0
BR,2008,35-44,m,5305.0
BR,2008,45-54,f,1669.0
BR,2008,45-54,m,4854.0
BR,2008,5-14,f,287.0
BR,2008,5-14,m,183.0
BR,2008,55-64,f,964.0
BR,2008,55-64,m,2650.0
BR,2008,65,f,879.0
BR,2008,65,m,1905.0
BS,2008,0-14,f,0.0
BS,2008,0-14,m,0.0
BS,2008,0-4,f,0.0
BS,2008,0-4,m,0.0
BS,2008,15-24,f,1.0
BS,2008,15-24,m,2.0
BS,2008,25-34,f,4.0
BS,2008,25-34,m,6.0
BS,2008,35-44,f,4.0
BS,2008,35-44,m,5.0
BS,2008,45-54,f,0.0
BS,2008,45-54,m,7.0
BS,2008,5-14,f,0.0
BS,2008,5-14,m,0.0
BS,2008,55-64,f,0.0
BS,2008,55-64,m,2.0
BS,2008,65,f,0.0
BS,2008,65,m,0.0
BW,2008,0-14,f,42.0
BW,2008,0-14,m,27.0
BW,2008,0-4,f,5.0
BW,2008,0-4,m,4.0
BW,2008,15-24,f,347.0
BW,2008,15-24,m,254.0
BW,2008,25-34,f,474.0
BW,2008,25-34,m,528.0
BW,2008,35-44,f,226.0
BW,2008,35-44,m,384.0
BW,2008,45-54,f,135.0
BW,2008,45-54,m,220.0
BW,2008,5-14,f,37.0
BW,2008,5-14,m,23.0
BW,2008,55-64,f,51.0
BW,2008,55-64,m,113.0
BW,2008,65,f,30.0
BW,2008,65,m,85.0
BZ,2008,0-14,f,0.0
BZ,2008,0-14,m,1.0
BZ,2008,0-4,f,0.0
BZ,2008,0-4,m,0.0
BZ,2008,15-24,f,5.0
BZ,2008,15-24,m,8.0
BZ,2008,25-34,f,0.0
BZ,2008,25-34,m,12.0
BZ,2008,35-44,f,6.0
BZ,2008,35-44,m,15.0
BZ,2008,45-54,f,4.0
BZ,2008,45-54,m,9.0
BZ,2008,5-14,f,0.0
BZ,2008,5-14,m,1.0
BZ,2008,55-64,f,3.0
BZ,2008,55-64,m,5.0
BZ,2008,65,f,8.0
BZ,2008,65,m,8.0
CA,2008,0-14,f,3.0
CA,2008,0-14,m,2.0
CA,2008,0-4,f,0.0
CA,2008,0-4,m,0.0
CA,2008,15-24,f,36.0
CA,2008,15-24,m,39.0
CA,2008,25-34,f,39.0
CA,2008,25-34,m,36.0
CA,2008,35-44,f,39.0
CA,2008,35-44,m,49.0
CA,2008,45-54,f,27.0
CA,2008,45-54,m,53.0
CA,2008,5-14,f,3.0
CA,2008,5-14,m,2.0
CA,2008,55-64,f,20.0
CA,2008,55-64,m,38.0
CA,2008,65,f,45.0
CA,2008,65,m,62.0
CH,2005,0-14,f,0.0
CH,2005,0-14,m,1.0
CH,2005,0-4,f,0.0
CH,2005,0-4,m,0.0
CH,2005,15-24,f,6.0
CH,2005,15-24,m,10.0
CH,2005,25-34,f,11.0
CH,2005,25-34,m,9.0
CH,2005,35-44,f,8.0
CH,2005,35-44,m,13.0
CH,2005,45-54,f,3.0
CH,2005,45-54,m,12.0
CH,2005,5-14,f,0.0
CH,2005,5-14,m,1.0
CH,2005,55-64,f,2.0
CH,2005,55-64,m,2.0
CH,2005,65,f,4.0
CH,2005,65,m,7.0
CH,2006,0-14,f,1.0
CH,2006,0-14,m,1.0
CH,2006,0-4,f,0.0
CH,2006,0-4,m,0.0
CH,2006,15-24,f,10.0
CH,2006,15-24,m,11.0
CH,2006,25-34,f,16.0
CH,2006,25-34,m,15.0
CH,2006,35-44,f,11.0
CH,2006,35-44,m,11.0
CH,2006,45-54,f,5.0
CH,2006,45-54,m,8.0
CH,2006,5-14,f,1.0
CH,2006,5-14,m,1.0
CH,2006,55-64,f,1.0
CH,2006,55-64,m,7.0
CH,2006,65,f,2.0
CH,2006,65,m,12.0
CH,2007,0-14,f,1.0
CH,2007,0-14,m,0.0
CH,2007,0-4,f,0.0
CH,2007,0-4,m,0.0
CH,2007,15-24,f,9.0
CH,2007,15-24,m,11.0
CH,2007,25-34,f,17.0
CH,2007,25-34,m,10.0
CH,2007,35-44,f,3.0
CH,2007,35-44,m,11.0
CH,2007,45-54,f,0.0
CH,2007,45-54,m,7.0
CH,2007,5-14,f,1.0
CH,2007,5-14,m,0.0
CH,2007,55-64,f,3.0
CH,2007,55-64,m,5.0
CH,2007,65,f,7.0
CH,2007,65,m,11.0
CH,2008,0-14,f,1.0
CH,2008,0-14,m,0.0
CH,2008,0-4,f,0.0
CH,2008,0-4,m,0.0
CH,2008,15-24,f,3.0
CH,2008,15-24,m,8.0
CH,2008,25-34,f,13.0
CH,2008,25-34,m,13.0
CH,2008,35-44,f,6.0
CH,2008,35-44,m,5.0
CH,2008,45-54,f,2.0
CH,2008,45-54,m,4.0
CH,2008,5-14,f,1.0
CH,2008,5-14,m,0.0
CH,2008,55-64,f,1.0
CH,2008,55-64,m,3.0
CH,2008,65,f,1.0
CH,2008,65,m,4.0
CM,2008,0-14,f,173.0
CM,2008,0-14,m,108.0
CM,2008,0-4,f,0.0
CM,2008,0-4,m,0.0
CM,2008,15-24,f,1506.0
CM,2008,15-24,m,1613.0
CM,2008,25-34,f,2041.0
CM,2008,25-34,m,2861.0
CM,2008,35-44,f,1027.0
CM,2008,35-44,m,2016.0
CM,2008,45-54,f,568.0
CM,2008,45-54,m,1135.0
CM,2008,5-14,f,0.0
CM,2008,5-14,m,0.0
CM,2008,55-64,f,234.0
CM,2008,55-64,m,526.0
CM,2008,65,f,148.0
CM,2008,65,m,281.0
CY,2005,0-14,f,0.0
CY,2005,0-14,m,0.0
CY,2005,0-4,f,0.0
CY,2005,0-4,m,0.0
CY,2005,15-24,f,1.0
CY,2005,15-24,m,3.0
CY,2005,25-34,f,0.0
CY,2005,25-34,m,1.0
CY,2005,35-44,f,0.0
CY,2005,35-44,m,1.0
CY,2005,45-54,f,0.0
CY,2005,45-54,m,1.0
CY,2005,5-14,f,0.0
CY,2005,5-14,m,0.0
CY,2005,55-64,f,0.0
CY,2005,55-64,m,0.0
CY,2005,65,f,0.0
CY,2005,65,m,1.0
CY,2006,0-14,f,0.0
CY,2006,0-14,m,0.0
CY,2006,0-4,f,0.0
CY,2006,0-4,m,0.0
CY,2006,15-24,f,2.0
CY,2006,15-24,m,0.0
CY,2006,25-34,f,3.0
CY,2006,25-34,m,1.0
CY,2006,35-44,f,0.0
CY,2006,35-44,m,1.0
CY,2006,45-54,f,0.0
CY,2006,45-54,m,0.0
CY,2006,5-14,f,0.0
CY,2006,5-14,m,0.0
CY,2006,55-64,f,0.0
CY,2006,55-64,m,1.0
CY,2006,65,f,0.0
CY,2006,65,m,0.0
CY,2007,0-14,f,0.0
CY,2007,0-14,m,0.0
CY,2007,0-4,f,0.0
CY,2007,0-4,m,0.0
CY,2007,15-24,f,1.0
CY,2007,15-24,m,2.0
CY,2007,25-34,f,3.0
CY,2007,25-34,m,1.0
